rental_hour,season,workingday,weather,temp,humidity,windspeed,total_rentals,sunspots
2011-01-01 00:00:00,winter,0,1,9.84,81,0.0,16,0
2011-01-01 01:00:00,winter,0,1,9.02,80,0.0,40,1
2011-01-01 02:00:00,winter,0,1,9.02,80,0.0,32,1
2011-01-01 03:00:00,winter,0,1,9.84,75,0.0,13,0
2011-01-01 04:00:00,winter,0,1,9.84,75,0.0,1,1
2011-01-01 05:00:00,winter,0,2,9.84,75,6.0032,1,0
2011-01-01 06:00:00,winter,0,1,9.02,80,0.0,2,1
2011-01-01 07:00:00,winter,0,1,8.2,86,0.0,3,1
2011-01-01 08:00:00,winter,0,1,9.84,75,0.0,8,1
2011-01-01 09:00:00,winter,0,1,13.12,76,0.0,14,2
2011-01-01 10:00:00,winter,0,1,15.58,76,16.9979,36,2
2011-01-01 11:00:00,winter,0,1,14.76,81,19.0012,56,0
2011-01-01 12:00:00,winter,0,1,17.22,77,19.0012,84,0
2011-01-01 13:00:00,winter,0,2,18.86,72,19.9995,94,0
2011-01-01 14:00:00,winter,0,2,18.86,72,19.0012,106,2
2011-01-01 15:00:00,winter,0,2,18.04,77,19.9995,110,2
2011-01-01 16:00:00,winter,0,2,17.22,82,19.9995,93,1
2011-01-01 17:00:00,winter,0,2,18.04,82,19.0012,67,1
2011-01-01 18:00:00,winter,0,3,17.22,88,16.9979,35,1
2011-01-01 19:00:00,winter,0,3,17.22,88,16.9979,37,0
2011-01-01 20:00:00,winter,0,2,16.4,87,16.9979,36,1
2011-01-01 21:00:00,winter,0,2,16.4,87,12.998,34,0
2011-01-01 22:00:00,winter,0,2,16.4,94,15.0013,28,2
2011-01-01 23:00:00,winter,0,2,18.86,88,19.9995,39,2
2011-01-02 00:00:00,winter,0,2,18.86,88,19.9995,17,0
2011-01-02 01:00:00,winter,0,2,18.04,94,16.9979,17,1
2011-01-02 02:00:00,winter,0,2,17.22,100,19.0012,9,0
2011-01-02 03:00:00,winter,0,2,18.86,94,12.998,6,1
2011-01-02 04:00:00,winter,0,2,18.86,94,12.998,3,2
2011-01-02 06:00:00,winter,0,3,17.22,77,19.9995,2,0
2011-01-02 07:00:00,winter,0,2,16.4,76,12.998,1,1
2011-01-02 08:00:00,winter,0,3,16.4,71,15.0013,8,2
2011-01-02 09:00:00,winter,0,2,15.58,76,15.0013,20,0
2011-01-02 10:00:00,winter,0,2,14.76,81,15.0013,53,1
2011-01-02 11:00:00,winter,0,2,14.76,71,16.9979,70,0
2011-01-02 12:00:00,winter,0,2,14.76,66,19.9995,93,0
2011-01-02 13:00:00,winter,0,2,14.76,66,8.9981,75,0
2011-01-02 14:00:00,winter,0,3,14.76,76,12.998,59,2
2011-01-02 15:00:00,winter,0,3,13.94,81,11.0014,74,1
